Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,365.570007,378.459991,362.029999,373.880005,360.155975,1344541500
2021-01-01,375.309998,385.850006,364.820007,370.070007,358.005402,1402265400
2021-02-01,373.720001,394.170013,370.380005,380.359985,367.959900,1307806200
2021-03-01,385.589996,398.119995,371.880005,396.329987,383.409302,2401715800
2021-04-01,398.399994,420.720001,398.179993,417.299988,405.017853,1462106600
2021-05-01,419.429993,422.820007,404.000000,420.040009,407.677216,1547235900
2021-06-01,422.570007,428.779999,414.700012,428.059998,415.461090,1282152400
2021-07-01,428.869995,441.799988,421.970001,438.510010,426.995972,1422104700
2021-08-01,440.339996,453.070007,436.100006,451.559998,439.703339,1254001400
2021-09-01,452.559998,454.049988,428.779999,429.140015,417.872040,1745559600
2021-10-01,430.980011,459.559998,426.359985,459.250000,448.624054,1508665200
2021-11-01,460.299988,473.540009,455.299988,455.559998,445.019470,1335351500
2021-12-01,461.640015,479.000000,448.920013,474.959991,463.970551,1927433900
2022-01-01,476.299988,479.980011,420.760010,449.910004,441.044250,2485167800
2022-02-01,450.679993,458.119995,410.640015,436.630005,428.025940,2297975100
2022-03-01,435.040009,462.070007,415.119995,451.640015,442.740173,2380929500
2022-04-01,453.309998,457.829987,411.209991,412.000000,405.135986,1856757400
2022-05-01,412.070007,429.660004,380.540009,412.929993,406.050476,2418478100
2022-06-01,415.170013,417.440002,362.170013,377.250000,370.964935,1958611900
2022-07-01,376.559998,413.029999,371.040009,411.989990,406.876160,1437748400
2022-08-01,409.149994,431.730011,395.040009,395.179993,390.274811,1443394400
2022-09-01,392.890015,411.730011,357.040009,357.179993,352.746490,1998908600
2022-10-01,361.079987,389.519989,348.109985,386.209991,382.982941,2024732000
2022-11-01,390.140015,407.679993,368.790009,407.679993,404.273560,1745985300
2022-12-01,408.769989,410.489990,374.769989,382.429993,379.234528,1735973600
